stockNumber,availability,shape,weight,color,clarity,cutGrade,polish,symmetry,fluorescenceIntensity,fluorescenceColor,measurements,BGM,eyeClean,lab,reportNumber,rapLabReportID,treatment,rapNetPrice,rapNetDiscountPercent,cashPrice,cashPriceDiscountPercent,buyNowPricePerCt,buyNowRapPercent,depthPercent,tablePercent,girdleThin,girdleThick,girdlePercent,girdleCondition,culetSize,culetCondition,crownHeight,crownAngle,pavilionDepth,pavilionAngle,laserInscription,certComment,keyToSymbols,memberComment,starLength,shade,whiteInclusion,blackInclusion,openInclusion,milky,fancyColor,fancyColorIntensity,fancyColorOvertone,country,state,city,brand,sellerSpec,sarineID,reportFileName,report2FileName,websiteLink,images,videos,documents,tradeShow,reportIssueDate,reportType,labLocation,pairStockNumber,isMatchedPairSeparable,allowRapLinkFeed,parcelStones,tracrID,roughSource,mine
S1069,G,Round,2.76,D,VVS1,VG,EX,EX,Strong,Blue,7.99 x 6.73 x 4.05,Green,No,IGI,RN10069,RL10069,HPHT,3364.16,-15.88,7177.6,-61.47,3291.34,-18.03,60.89,54.07,Medium,Medium,1.98,Faceted,Small,Abraded,14.34,34.52,41.64,41.96,LI1069,Sample certification comment,"Feather, Cloud",Sample member comment,54.99,Grey,No,No,Yes,No,Pink,Vivid,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1069,report_69.pdf,report2_69.pdf,https://diamondsite.com/diamond/69,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-04-20,Grading,Mumbai,S2069,False,False,Yes,TID3069,Botswana,Orapa
S1070,G,Oval,4.97,E,VS2,VG,VG,G,None,,7.58 x 4.03 x 4.4,,Yes,GCAL,RN10070,RL10070,None,12183.79,-57.81,7478.12,-54.89,3527.47,-16.34,62.92,51.97,Thin,Thick,0.75,Natural,Medium,Abraded,16.24,32.27,43.54,40.84,LI1070,Sample certification comment,"Feather, Cloud",Sample member comment,51.91,No shade,No,Yes,Yes,Yes,,Faint,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1070,report_70.pdf,report2_70.pdf,https://diamondsite.com/diamond/70,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-04-06,Grading,Mumbai,S2070,True,True,No,TID3070,Botswana,Orapa
S1071,G,Princess,2.52,E,VS1,G,VG,EX,Medium,Blue,4.07 x 4.94 x 4.63,Milky,No,IGI,RN10071,RL10071,HPHT,12068.31,-56.52,4808.9,-8.73,6447.39,-35.37,64.34,56.84,Medium,Medium,0.83,Polished,Small,Pointed,12.38,34.58,40.76,40.37,LI1071,Sample certification comment,"Feather, Cloud",Sample member comment,52.19,No shade,No,Yes,No,No,Yellow,Faint,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1071,report_71.pdf,report2_71.pdf,https://diamondsite.com/diamond/71,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-04-26,Grading,Mumbai,S2071,True,True,Yes,TID3071,Botswana,Orapa
S1072,STPS,Princess,0.76,F,VS1,EX,EX,VG,Medium,Blue,4.85 x 6.02 x 2.03,Milky,Yes,HRD,RN10072,RL10072,None,14921.87,-14.96,12300.58,-41.57,3691.17,-7.04,57.26,54.24,Thin,Thin,1.53,Faceted,Small,Chipped,12.41,32.38,40.42,40.96,LI1072,Sample certification comment,"Feather, Cloud",Sample member comment,55.22,No shade,Yes,No,No,Yes,Yellow,,,India,Gujarat,Surat,CG Diamond,Premium,SID1072,report_72.pdf,report2_72.pdf,https://diamondsite.com/diamond/72,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-11-12,Grading,Mumbai,S2072,True,True,No,TID3072,Botswana,Orapa
S1073,STPS,Princess,0.8,D,VVS2,VG,G,EX,Faint,,7.84 x 5.64 x 4.85,,No,GCAL,RN10073,RL10073,,9215.05,-29.42,7040.22,-58.84,4858.67,-3.57,61.87,58.65,Thick,Thick,1.63,Polished,None,Abraded,14.81,33.59,40.71,41.28,LI1073,Sample certification comment,"Feather, Cloud",Sample member comment,48.36,Brown,No,No,Yes,No,Pink,,,India,Gujarat,Surat,CG Diamond,Premium,SID1073,report_73.pdf,report2_73.pdf,https://diamondsite.com/diamond/73,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-04-13,Grading,Mumbai,S2073,False,False,Yes,TID3073,Botswana,Orapa
S1074,M,Oval,4.02,F,IF,EX,VG,EX,Faint,,4.13 x 4.75 x 3.65,Brown,Yes,GIA,RN10074,RL10074,None,13876.1,-12.17,2343.21,-61.71,6641.57,-35.77,56.67,59.32,Thick,Medium,2.8,Natural,None,Pointed,12.89,31.61,40.03,40.85,LI1074,Sample certification comment,"Feather, Cloud",Sample member comment,55.6,Grey,No,No,Yes,No,,Faint,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1074,report_74.pdf,report2_74.pdf,https://diamondsite.com/diamond/74,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-09-06,Grading,Mumbai,S2074,False,False,Yes,TID3074,Botswana,Orapa
S1075,G,Oval,2.1,D,VS2,G,EX,VG,Faint,Blue,6.05 x 4.33 x 3.11,Brown,No,HRD,RN10075,RL10075,,11787.89,-55.46,8299.04,-18.91,2741.74,-3.19,61.11,59.23,Medium,Thin,1.84,Natural,Small,Abraded,13.47,30.06,42.46,40.47,LI1075,Sample certification comment,"Feather, Cloud",Sample member comment,50.81,Grey,No,Yes,No,No,Yellow,Vivid,,India,Gujarat,Surat,CG Diamond,Premium,SID1075,report_75.pdf,report2_75.pdf,https://diamondsite.com/diamond/75,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-10-20,Grading,Mumbai,S2075,True,True,No,TID3075,Botswana,Orapa
S1076,G,Emerald,4.8,D,VVS1,G,G,EX,Medium,Yellow,7.41 x 7.01 x 3.73,,No,GCAL,RN10076,RL10076,HPHT,1187.91,-43.63,2355.29,-26.38,3854.37,-30.68,60.64,52.6,Thin,Thick,2.35,Faceted,Medium,Pointed,18.13,31.99,40.58,41.12,LI1076,Sample certification comment,"Feather, Cloud",Sample member comment,49.36,No shade,Yes,Yes,No,Yes,Pink,,,India,Gujarat,Surat,CG Diamond,Premium,SID1076,report_76.pdf,report2_76.pdf,https://diamondsite.com/diamond/76,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-08-28,Grading,Mumbai,S2076,True,True,No,TID3076,Botswana,Orapa
S1077,STPS,Emerald,3.71,H,IF,EX,EX,EX,Strong,Yellow,5.4 x 6.24 x 3.95,Brown,Yes,IGI,RN10077,RL10077,None,14464.75,-59.43,5215.89,-55.3,13604.15,-42.47,63.59,58.46,Thin,Thick,1.63,Faceted,None,Pointed,11.55,33.99,44.2,41.55,LI1077,Sample certification comment,"Feather, Cloud",Sample member comment,57.87,No shade,Yes,Yes,Yes,No,,Vivid,,India,Gujarat,Surat,CG Diamond,Premium,SID1077,report_77.pdf,report2_77.pdf,https://diamondsite.com/diamond/77,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-11-11,Grading,Mumbai,S2077,True,True,No,TID3077,Botswana,Orapa
S1078,STPS,Round,2.61,D,VS2,EX,G,EX,Faint,Blue,7.56 x 6.04 x 2.1,,Yes,HRD,RN10078,RL10078,Fracture Filled,4209.56,-10.31,3841.73,-65.24,12626.26,-15.11,62.76,58.61,Thin,Medium,2.23,Natural,None,Abraded,10.75,35.77,43.18,41.63,LI1078,Sample certification comment,"Feather, Cloud",Sample member comment,53.9,Grey,Yes,Yes,Yes,Yes,,Faint,,India,Gujarat,Surat,CG Diamond,Premium,SID1078,report_78.pdf,report2_78.pdf,https://diamondsite.com/diamond/78,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-02-01,Grading,Mumbai,S2078,False,True,No,TID3078,Botswana,Orapa
S1079,G,Oval,3.23,H,VVS2,VG,VG,G,None,Yellow,5.97 x 5.51 x 2.75,Brown,Yes,GIA,RN10079,RL10079,Fracture Filled,8236.33,-55.78,10289.75,-14.91,12557.84,-16.98,58.85,54.45,Thin,Medium,1.45,Natural,None,Chipped,17.1,35.81,43.04,41.16,LI1079,Sample certification comment,"Feather, Cloud",Sample member comment,51.87,No shade,Yes,Yes,No,No,Blue,Faint,,India,Gujarat,Surat,CG Diamond,Premium,SID1079,report_79.pdf,report2_79.pdf,https://diamondsite.com/diamond/79,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-06-28,Grading,Mumbai,S2079,False,False,Yes,TID3079,Botswana,Orapa
S1080,G,Oval,2.24,H,VS2,G,EX,VG,Strong,Yellow,5.03 x 5.89 x 4.42,Brown,No,GCAL,RN10080,RL10080,HPHT,8543.34,-16.6,7427.46,-62.56,9778.14,-42.19,60.34,64.04,Medium,Medium,2.8,Natural,None,Abraded,15.35,36.0,44.93,40.45,LI1080,Sample certification comment,"Feather, Cloud",Sample member comment,47.85,No shade,No,No,No,No,Yellow,Vivid,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1080,report_80.pdf,report2_80.pdf,https://diamondsite.com/diamond/80,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-07-23,Grading,Mumbai,S2080,False,True,No,TID3080,Botswana,Orapa
S1081,STPS,Oval,2.65,G,VVS2,VG,VG,G,Medium,Blue,6.61 x 7.34 x 2.1,Green,Yes,IGI,RN10081,RL10081,,12401.73,-55.37,12037.19,-54.09,12605.29,-46.49,57.82,58.07,Thick,Medium,2.4,Polished,Medium,Pointed,19.61,31.71,44.15,41.75,LI1081,Sample certification comment,"Feather, Cloud",Sample member comment,56.68,Grey,Yes,No,Yes,No,,Fancy,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1081,report_81.pdf,report2_81.pdf,https://diamondsite.com/diamond/81,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-01-20,Grading,Mumbai,S2081,False,True,No,TID3081,Botswana,Orapa
S1082,M,Princess,2.34,H,VS1,G,VG,G,Strong,,7.67 x 4.74 x 4.86,Milky,No,HRD,RN10082,RL10082,None,10340.76,-33.14,4150.28,-63.97,4475.26,-20.83,62.7,58.2,Thin,Thick,1.12,Faceted,None,Chipped,16.97,35.04,40.74,41.89,LI1082,Sample certification comment,"Feather, Cloud",Sample member comment,50.03,Grey,Yes,Yes,No,No,Blue,Vivid,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1082,report_82.pdf,report2_82.pdf,https://diamondsite.com/diamond/82,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-08-23,Grading,Mumbai,S2082,True,True,Yes,TID3082,Botswana,Orapa
S1083,STPS,Round,4.1,F,VVS1,EX,VG,VG,Faint,Blue,4.87 x 4.66 x 3.11,Brown,Yes,IGI,RN10083,RL10083,None,7209.7,-34.92,9094.31,-29.05,4973.28,-25.68,62.57,53.9,Thick,Medium,2.65,Natural,None,Pointed,13.74,33.56,41.15,40.1,LI1083,Sample certification comment,"Feather, Cloud",Sample member comment,54.93,Grey,No,Yes,Yes,Yes,,Vivid,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1083,report_83.pdf,report2_83.pdf,https://diamondsite.com/diamond/83,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-01-21,Grading,Mumbai,S2083,True,False,Yes,TID3083,Botswana,Orapa
S1084,NA,Oval,1.56,E,VS1,G,VG,VG,None,,6.62 x 5.69 x 2.29,,No,GCAL,RN10084,RL10084,None,4579.47,-16.38,4082.24,-42.44,10116.32,-15.17,63.19,55.9,Medium,Medium,2.23,Natural,None,Pointed,16.99,33.83,42.74,41.96,LI1084,Sample certification comment,"Feather, Cloud",Sample member comment,50.94,No shade,Yes,No,No,Yes,,Vivid,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1084,report_84.pdf,report2_84.pdf,https://diamondsite.com/diamond/84,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-03-26,Grading,Mumbai,S2084,True,False,Yes,TID3084,Botswana,Orapa
S1085,NA,Round,0.83,E,VVS1,G,VG,VG,Medium,Blue,4.11 x 7.81 x 2.16,Milky,Yes,GCAL,RN10085,RL10085,HPHT,8390.96,-11.76,4268.29,-16.62,10950.49,-26.63,58.5,59.08,Medium,Thick,2.04,Natural,None,Pointed,11.3,32.67,41.41,40.03,LI1085,Sample certification comment,"Feather, Cloud",Sample member comment,48.34,Brown,No,Yes,No,Yes,,Vivid,,India,Gujarat,Surat,CG Diamond,Premium,SID1085,report_85.pdf,report2_85.pdf,https://diamondsite.com/diamond/85,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-12-12,Grading,Mumbai,S2085,False,False,Yes,TID3085,Botswana,Orapa
S1086,G,Round,0.94,G,VS1,G,EX,VG,Strong,Blue,4.56 x 6.51 x 4.23,,Yes,HRD,RN10086,RL10086,Fracture Filled,13673.08,-30.79,5695.55,-19.53,8421.75,-36.42,55.93,51.84,Thick,Thin,0.59,Faceted,Medium,Pointed,13.37,35.08,41.74,40.44,LI1086,Sample certification comment,"Feather, Cloud",Sample member comment,47.6,No shade,No,Yes,No,No,Pink,Fancy,,India,Gujarat,Surat,CG Diamond,Premium,SID1086,report_86.pdf,report2_86.pdf,https://diamondsite.com/diamond/86,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-07-04,Grading,Mumbai,S2086,False,False,Yes,TID3086,Botswana,Orapa
S1087,M,Princess,2.27,D,VVS1,VG,VG,EX,Strong,Blue,6.18 x 4.97 x 4.66,,Yes,HRD,RN10087,RL10087,None,2411.52,-20.06,1782.75,-48.92,13647.52,-47.47,64.39,51.8,Medium,Medium,2.2,Polished,Small,Pointed,10.5,34.22,44.75,41.76,LI1087,Sample certification comment,"Feather, Cloud",Sample member comment,54.37,Brown,No,Yes,No,No,Yellow,Vivid,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1087,report_87.pdf,report2_87.pdf,https://diamondsite.com/diamond/87,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-07-17,Grading,Mumbai,S2087,False,False,No,TID3087,Botswana,Orapa
S1088,NA,Oval,2.31,F,IF,VG,G,EX,Faint,,4.93 x 7.22 x 4.63,,No,HRD,RN10088,RL10088,,8806.56,-14.39,10484.81,-26.71,13154.5,-7.15,57.53,50.06,Medium,Medium,1.12,Polished,Medium,Chipped,16.86,33.85,43.03,40.92,LI1088,Sample certification comment,"Feather, Cloud",Sample member comment,47.26,Grey,Yes,No,No,No,,Fancy,,India,Gujarat,Surat,CG Diamond,Premium,SID1088,report_88.pdf,report2_88.pdf,https://diamondsite.com/diamond/88,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-10-14,Grading,Mumbai,S2088,False,False,Yes,TID3088,Botswana,Orapa
S1089,G,Oval,4.39,H,VVS2,VG,G,G,None,Blue,5.7 x 6.44 x 3.33,Green,Yes,GCAL,RN10089,RL10089,,11087.19,-18.47,3964.06,-48.62,14334.64,-12.79,62.56,57.63,Thick,Thick,2.24,Polished,Small,Pointed,18.4,31.83,41.57,41.12,LI1089,Sample certification comment,"Feather, Cloud",Sample member comment,52.35,Brown,No,Yes,Yes,Yes,Yellow,Faint,,India,Gujarat,Surat,CG Diamond,Premium,SID1089,report_89.pdf,report2_89.pdf,https://diamondsite.com/diamond/89,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-05-28,Grading,Mumbai,S2089,False,True,No,TID3089,Botswana,Orapa
S1090,STPS,Oval,2.37,F,VS2,VG,EX,VG,Medium,Yellow,7.76 x 5.94 x 4.09,Brown,No,GCAL,RN10090,RL10090,Fracture Filled,12021.89,-49.83,2948.8,-40.57,10951.09,-13.15,64.9,54.43,Medium,Thick,1.34,Faceted,None,Pointed,18.29,31.94,44.15,40.03,LI1090,Sample certification comment,"Feather, Cloud",Sample member comment,54.95,Grey,Yes,Yes,Yes,No,Yellow,Fancy,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1090,report_90.pdf,report2_90.pdf,https://diamondsite.com/diamond/90,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-06-17,Grading,Mumbai,S2090,False,True,No,TID3090,Botswana,Orapa
S1091,G,Oval,2.06,E,VS2,G,VG,VG,Faint,,7.81 x 7.59 x 3.91,,Yes,HRD,RN10091,RL10091,Fracture Filled,1213.6,-30.43,4312.72,-67.95,10381.25,-32.14,56.3,53.22,Thick,Medium,1.83,Natural,Small,Pointed,12.26,34.38,43.27,40.56,LI1091,Sample certification comment,"Feather, Cloud",Sample member comment,56.87,No shade,No,Yes,No,No,Blue,,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1091,report_91.pdf,report2_91.pdf,https://diamondsite.com/diamond/91,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-12-11,Grading,Mumbai,S2091,False,True,Yes,TID3091,Botswana,Orapa
S1092,M,Emerald,1.23,G,IF,VG,VG,VG,Strong,,7.36 x 4.36 x 3.12,Brown,No,GIA,RN10092,RL10092,HPHT,9809.56,-55.61,12479.21,-41.7,13953.2,-4.03,62.28,64.93,Thick,Thin,1.77,Natural,Small,Abraded,14.54,32.48,43.85,40.04,LI1092,Sample certification comment,"Feather, Cloud",Sample member comment,58.9,Brown,Yes,No,No,No,Pink,Vivid,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1092,report_92.pdf,report2_92.pdf,https://diamondsite.com/diamond/92,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-10-23,Grading,Mumbai,S2092,False,True,Yes,TID3092,Botswana,Orapa
S1093,NA,Emerald,3.55,H,IF,G,G,EX,Medium,Blue,4.49 x 4.25 x 3.0,Milky,Yes,GCAL,RN10093,RL10093,,11191.83,-53.2,5869.55,-21.15,5012.02,-37.26,60.58,53.85,Thick,Medium,1.23,Polished,None,Chipped,12.2,35.71,43.15,41.05,LI1093,Sample certification comment,"Feather, Cloud",Sample member comment,59.74,Brown,No,Yes,Yes,No,Pink,Fancy,,India,Gujarat,Surat,CG Diamond,Premium,SID1093,report_93.pdf,report2_93.pdf,https://diamondsite.com/diamond/93,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-06-17,Grading,Mumbai,S2093,False,True,No,TID3093,Botswana,Orapa
S1094,STPS,Oval,2.25,G,IF,G,EX,VG,Faint,Yellow,6.2 x 7.19 x 2.34,Green,Yes,GIA,RN10094,RL10094,None,3928.7,-58.34,5151.91,-32.81,7207.78,-34.45,64.14,51.09,Medium,Medium,1.55,Faceted,Small,Chipped,17.23,33.88,41.14,40.88,LI1094,Sample certification comment,"Feather, Cloud",Sample member comment,55.97,No shade,Yes,No,No,Yes,Pink,,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1094,report_94.pdf,report2_94.pdf,https://diamondsite.com/diamond/94,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-06-04,Grading,Mumbai,S2094,True,False,No,TID3094,Botswana,Orapa
S1095,G,Princess,4.66,G,VS1,EX,VG,VG,Medium,Yellow,4.13 x 7.86 x 2.8,,No,IGI,RN10095,RL10095,,9441.34,-38.82,2513.9,-6.25,11961.1,-14.59,57.77,53.64,Thick,Thick,2.53,Natural,None,Abraded,16.55,32.17,41.08,40.39,LI1095,Sample certification comment,"Feather, Cloud",Sample member comment,46.97,Grey,No,Yes,Yes,No,Pink,,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1095,report_95.pdf,report2_95.pdf,https://diamondsite.com/diamond/95,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-11-18,Grading,Mumbai,S2095,False,True,Yes,TID3095,Botswana,Orapa
S1096,G,Emerald,1.24,E,VVS2,VG,VG,VG,Strong,,4.13 x 6.67 x 3.6,Brown,Yes,GCAL,RN10096,RL10096,HPHT,3490.64,-43.65,5978.7,-9.07,9407.08,-17.26,57.33,61.16,Thick,Medium,1.38,Faceted,Small,Chipped,18.39,33.6,40.71,41.37,LI1096,Sample certification comment,"Feather, Cloud",Sample member comment,55.68,Grey,Yes,Yes,No,No,Blue,,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1096,report_96.pdf,report2_96.pdf,https://diamondsite.com/diamond/96,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-12-05,Grading,Mumbai,S2096,True,False,Yes,TID3096,Botswana,Orapa
S1097,STPS,Princess,3.94,D,VVS2,G,VG,G,Strong,Blue,5.03 x 6.15 x 4.44,Green,Yes,IGI,RN10097,RL10097,,1279.88,-56.74,859.01,-42.6,4804.08,-24.14,62.61,53.94,Thin,Medium,1.8,Faceted,Small,Chipped,13.23,33.51,42.52,41.43,LI1097,Sample certification comment,"Feather, Cloud",Sample member comment,57.46,Grey,Yes,No,Yes,No,,Faint,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1097,report_97.pdf,report2_97.pdf,https://diamondsite.com/diamond/97,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-05-24,Grading,Mumbai,S2097,False,True,Yes,TID3097,Botswana,Orapa
S1098,M,Emerald,3.99,G,VVS2,EX,G,EX,None,Blue,6.26 x 6.48 x 2.02,Milky,No,GCAL,RN10098,RL10098,Fracture Filled,7755.7,-24.36,10808.79,-49.89,14047.95,-30.43,59.01,57.62,Thin,Thick,1.81,Faceted,Small,Abraded,12.02,33.95,44.4,40.87,LI1098,Sample certification comment,"Feather, Cloud",Sample member comment,56.53,No shade,No,No,No,No,,,,India,Gujarat,Surat,CG Diamond,Premium,SID1098,report_98.pdf,report2_98.pdf,https://diamondsite.com/diamond/98,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-02-15,Grading,Mumbai,S2098,False,True,Yes,TID3098,Botswana,Orapa
S1099,G,Oval,3.36,G,VS1,VG,G,VG,Strong,,4.55 x 4.8 x 2.58,,Yes,IGI,RN10099,RL10099,None,11593.68,-42.07,11283.83,-15.34,13910.16,-26.73,61.87,54.36,Thick,Thin,2.19,Faceted,Small,Abraded,18.14,30.59,40.62,41.38,LI1099,Sample certification comment,"Feather, Cloud",Sample member comment,45.66,Brown,Yes,Yes,Yes,Yes,Blue,Vivid,,India,Gujarat,Surat,CG Diamond,Premium,SID1099,report_99.pdf,report2_99.pdf,https://diamondsite.com/diamond/99,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-05-15,Grading,Mumbai,S2099,True,True,Yes,TID3099,Botswana,Orapa
